,sender,receiver,message,timestamp
0,monica,joey,there's nothing to tell! he's just some guy i work with!,1994-09-22 00:00:00
1,monica,chandler,there's nothing to tell! he's just some guy i work with!,1994-09-22 00:00:00
2,monica,phoebe,there's nothing to tell! he's just some guy i work with!,1994-09-22 00:00:00
3,joey,monica,"c'mon, you're going out with the guy! there's gotta be something wrong with him!",1994-09-22 00:00:01
4,chandler,monica,so does he have a hump? a hump and a hairpiece?,1994-09-22 00:00:02
5,phoebe,monica,"wait, does he eat chalk?",1994-09-22 00:00:03
6,phoebe,chandler,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
7,phoebe,monica,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
8,phoebe,ross,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
9,phoebe,joey,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
10,phoebe,waitress,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
11,phoebe,rachel,"just, 'cause, i don't want her to go through what i went through with carl- oh!",1994-09-22 00:00:04
12,monica,chandler,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
13,monica,phoebe,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
14,monica,ross,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
15,monica,joey,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
16,monica,waitress,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
17,monica,rachel,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having s*x.",1994-09-22 00:00:05
18,chandler,monica,sounds like a date to me.,1994-09-22 00:00:06
19,chandler,phoebe,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
20,chandler,monica,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
21,chandler,ross,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
22,chandler,joey,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
23,chandler,waitress,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
24,chandler,rachel,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realise i am totally naked.",1994-09-22 00:00:07
25,phoebe,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
26,monica,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
27,ross,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
28,joey,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
29,waitress,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
30,rachel,chandler,"oh, yeah. had that dream.",1994-09-22 00:00:08
31,chandler,phoebe,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
32,chandler,monica,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
33,chandler,ross,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
34,chandler,joey,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
35,chandler,waitress,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
36,chandler,rachel,"then i look down, and i realise there's a phone... there.",1994-09-22 00:00:09
37,joey,chandler,instead of...?,1994-09-22 00:00:10
38,chandler,joey,that's right.,1994-09-22 00:00:11
39,joey,chandler,never had that dream.,1994-09-22 00:00:12
40,phoebe,chandler,no.,1994-09-22 00:00:13
41,chandler,phoebe,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
42,chandler,monica,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
43,chandler,ross,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
44,chandler,joey,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
45,chandler,waitress,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
46,chandler,rachel,"all of a sudden, the phone starts to ring. and it turns out it's my mother, which is very weird, because- she never calls me!",1994-09-22 00:00:14
47,ross,chandler,(mortified) hi.,1994-09-22 00:00:15
48,ross,phoebe,(mortified) hi.,1994-09-22 00:00:15
49,ross,monica,(mortified) hi.,1994-09-22 00:00:15
